"Tipo del piso	"	"m2	"	"Dormitorios	"	"Baños	"	"€/m2	"	"Precio	"	"Enlace Web	"
"DÃºplex	"	"175	"	"3	"	"3	"	"6000	"	"1.1M	"	"http://www.idealista.com/28982419	"
"piso	"	"260	"	"5	"	"2	"	"3842	"	"999m	"	"http://rd.nestoria.es/rd?itype=2&l=UVe7KDfNMfODOG.fXX&s=&url=2-ePz73aTBU4LVGFByDI464Ner8aIMqOqmnnO6u50s2qDemu-ce9_G5rapMAbDMkMIxp0Zsli8WOfUu6sPU8-oGyp-pRpPih_DYlPNVF5rNubg11bkCYzKZwBlYrKuUnoqgEDyvQ0Z2wWjNiAXvEnkbS12_VKU88vRr6HYhLhxD2eLhmItSWzaf2BsPA18dhXQF7ycHSfeW_aQ6ifAqctl23Wxxt2IcF5PKJbGevAFscqAmKyUPjJLq_K89fsoFBhZP_36vEGVTmcwnP3dsBeRE02NBqALyFpo4iim-Mxh6XXWfCbiN0BoTQ1mULLLBZj1lmYIxZMDkzDSZGNWOwvD640InbilzOgJCXQPm2R6j-BLimrwJXiyb49TqIU-qrtL5s4wgIByJVJvsnSW7cjnK0Y0YUAY9mMyH8oH5lzJ&v=2	"
"Piso	"	"172	"	"4	"	"2	"	"5232	"	"900m	"	"http://www.idealista.com/30463995	"
"Piso	"	"172	"	"3	"	"2	"	"5232	"	"900m	"	"http://www.idealista.com/30005823	"
"Piso	"	"170	"	"3	"	"2	"	"5158	"	"877m	"	"http://www.idealista.com/28982416	"
"Piso	"	"125	"	"3	"	"2	"	"6200	"	"775m	"	"http://www.idealista.com/28466591	"
"piso	"	"	"	"	"	"	"	"	"	"735m	"	"http://rd.nestoria.es/rd?itype=2&l=UXe9MFhPOhQFQIBhZb&s=&url=2-ePz73aTBU4LVGFByDI464Ner8aIMqOqmnnO6u50s2qDemu-cet_G5rWpMAbDMkMIxp0Zsli8WefUu6sPU8-oGyp-pRtHhhDDYlPNVF5qMezg11bkCYzKZwBlYrKuUnoqgEDyvQMT1wWjNiAXvEnkbS12_VKU88vRr6HYhLhxD2eLhmItSWzaf2BsOQh8dhXQF7ycHSfeW_aQ6ifBqM5t2HaxxtGFeFJPKZPGevAFscqAmKyUPjJLq_K89fsoFBhZP_36vEGVTmcwnP3dsBeRE02NBqALyFpo4iim-Mxh6XXWfCbiN0BoTQ1mULLLBZj1kGMGwZMClDXYYmlUM0HC8r8kgaKi3e5RWn8ZnH9nlOgM2WvpF0q6boJPsNVirK5c5Mg1i50mdlN2gEiU4dX2I0g9MhMT4GQpAtEPpQM%3D&v=2	"
"Piso	"	"118	"	"2	"	"2	"	"5508	"	"650m	"	"http://www.idealista.com/28542213	"
"Piso	"	"94	"	"3	"	"2	"	"6457	"	"607m	"	"http://www.idealista.com/25993980	"
"piso	"	"135	"	"3	"	"2	"	"4259	"	"575m	"	"http://rd.nestoria.es/rd?itype=2&l=VVeFUNpXWpYNYQJphi&s=&url=2-ePz73aTBU4LVGFByDI484Ner8aIMqOqmnnO6u50s2qDemu-cet_G5rapMAbDMkMIxp0Zsli8WOfUu6sPU8-oGyp-pRpPih7DYlPNVF5kM-7g11bkCYzKZwBlYrKuUnoqgEDyvQEX1wWjNiAXvEnkbS12_VKU88vRr6HYgrhxD2eLhmItSWzaf2BvOQh8dhXQF7ycHSfeW_aQ6ifDrcph2HuxxtyHeFFPJJXGevAFscqAmKyUPjJLq_K89fsoFBhZP_36vEGVTmcwnP3dsBeRE02NBqALyFpo4iim-Mxh6XXWfCbiN0BoTQ1mULLLBZj1kGQPxZMDkzTcZmFdOAvD640InbilzOgJCXQPm2R6j-BLimrwJXiyb49TqIU-qrtL5s4wgIByJVJvsnSW7cjnK0Y0YUAY9mMyH8oH5lzJ&v=2	"
